DT_MEDICAO;HR_MEDICAO;TEM_INS;UMD_INS
01/06/2022;0;28.50;92.01
01/06/2022;100;28.44;92.27
01/06/2022;200;28.32;92.33
01/06/2022;300;28.22;92.38
01/06/2022;400;28.09;92.72
01/06/2022;500;28.03;94.19
01/06/2022;600;27.87;94.94
01/06/2022;700;27.71;95.00
01/06/2022;800;27.69;95.00
01/06/2022;900;27.84;95.00
01/06/2022;1000;28.11;94.98
01/06/2022;1100;28.23;95.00
01/06/2022;1200;28.62;94.98
01/06/2022;1300;28.95;94.45
01/06/2022;1400;29.58;89.58
01/06/2022;1500;29.91;87.87
01/06/2022;1600;30.03;85.78
01/06/2022;1700;30.12;86.35
01/06/2022;1800;29.54;91.52
01/06/2022;1900;29.10;92.82
01/06/2022;2000;28.98;92.99
01/06/2022;2100;29.06;93.77
01/06/2022;2200;28.99;94.42
01/06/2022;2300;28.84;93.69
02/06/2022;0;28.71;93.44
02/06/2022;100;28.52;94.51
02/06/2022;200;28.47;94.99
02/06/2022;300;28.24;94.99
02/06/2022;400;28.24;95.00
02/06/2022;500;28.07;95.00
02/06/2022;600;27.85;94.99
02/06/2022;700;27.85;95.00
02/06/2022;800;27.82;95.00
02/06/2022;900;27.97;95.00
02/06/2022;1000;28.09;95.00
02/06/2022;1100;28.09;95.00
02/06/2022;1200;28.86;94.19
02/06/2022;1300;28.93;92.27
02/06/2022;1400;29.37;87.59
02/06/2022;1500;30.17;84.17
02/06/2022;1600;29.98;84.98
02/06/2022;1700;29.59;86.07
02/06/2022;1800;29.35;87.48
02/06/2022;1900;29.28;86.47
02/06/2022;2000;29.23;87.60
02/06/2022;2100;29.38;88.60
02/06/2022;2200;29.27;87.75
02/06/2022;2300;29.10;88.59
03/06/2022;0;28.98;90.06
03/06/2022;100;28.79;91.82
03/06/2022;200;28.66;92.35
03/06/2022;300;28.52;92.04
03/06/2022;400;28.45;92.11
03/06/2022;500;28.35;92.13
03/06/2022;600;28.17;90.93
03/06/2022;700;28.00;91.01
03/06/2022;800;28.10;94.60
03/06/2022;900;28.28;94.75
03/06/2022;1000;28.71;90.21
03/06/2022;1100;28.88;86.16
03/06/2022;1200;29.46;87.18
03/06/2022;1300;30.02;82.36
03/06/2022;1400;30.34;82.48
03/06/2022;1500;29.51;89.63
03/06/2022;1600;29.01;87.75
03/06/2022;1700;29.08;88.15
03/06/2022;1800;28.87;87.45
03/06/2022;1900;28.77;89.32
03/06/2022;2000;28.85;89.73
03/06/2022;2100;28.79;89.05
03/06/2022;2200;28.87;88.10
03/06/2022;2300;28.83;89.07
04/06/2022;0;28.76;88.56
04/06/2022;100;28.59;90.39
04/06/2022;200;28.46;91.66
04/06/2022;300;28.39;92.11
04/06/2022;400;28.23;92.48
04/06/2022;500;28.06;94.62
04/06/2022;600;28.01;94.78
04/06/2022;700;27.73;94.11
04/06/2022;800;27.82;94.82
04/06/2022;900;27.86;95.00
04/06/2022;1000;27.93;95.00
04/06/2022;1100;28.36;94.94
04/06/2022;1200;28.82;93.87
04/06/2022;1300;29.79;89.81
04/06/2022;1400;30.33;83.77
04/06/2022;1500;30.04;83.06
04/06/2022;1600;30.54;81.03
04/06/2022;1700;30.05;77.84
04/06/2022;1800;30.13;82.61
04/06/2022;1900;30.24;84.45
04/06/2022;2000;30.29;85.73
04/06/2022;2100;29.89;87.12
04/06/2022;2200;29.85;88.67
04/06/2022;2300;29.62;87.86
05/06/2022;0;29.37;87.14
05/06/2022;100;29.16;87.49
05/06/2022;200;29.05;87.75
05/06/2022;300;28.94;89.03
05/06/2022;400;28.78;89.93
05/06/2022;500;28.77;90.02
05/06/2022;600;28.66;91.92
05/06/2022;700;28.42;92.33
05/06/2022;800;28.43;93.55
05/06/2022;900;28.44;94.75
05/06/2022;1000;28.56;95.00
05/06/2022;1100;28.90;94.65
05/06/2022;1200;29.29;93.03
05/06/2022;1300;29.63;89.60
05/06/2022;1400;29.95;84.82
05/06/2022;1500;30.56;81.99
05/06/2022;1600;30.27;80.30
05/06/2022;1700;29.53;86.00
05/06/2022;1800;29.81;87.32
05/06/2022;1900;29.78;89.46
05/06/2022;2000;29.57;90.60
05/06/2022;2100;29.29;91.73
05/06/2022;2200;29.25;92.94
05/06/2022;2300;29.10;93.17
06/06/2022;0;28.89;93.19
06/06/2022;100;28.88;92.27
06/06/2022;200;28.76;92.10
06/06/2022;300;28.54;92.24
06/06/2022;400;28.55;91.88
06/06/2022;500;28.45;93.16
06/06/2022;600;28.39;94.24
06/06/2022;700;28.24;93.45
06/06/2022;800;28.08;94.55
06/06/2022;900;28.26;94.22
06/06/2022;1000;28.53;93.52
06/06/2022;1100;28.56;94.31
06/06/2022;1200;29.07;91.99
06/06/2022;1300;29.53;88.51
06/06/2022;1400;29.84;78.63
06/06/2022;1500;30.58;74.73
06/06/2022;1600;30.99;77.87
06/06/2022;1700;31.34;76.28
06/06/2022;1800;31.19;78.76
06/06/2022;1900;29.98;85.31
06/06/2022;2000;29.59;84.70
06/06/2022;2100;29.66;87.82
06/06/2022;2200;29.71;88.68
06/06/2022;2300;29.40;89.72
07/06/2022;0;29.21;89.71
07/06/2022;100;29.11;90.06
07/06/2022;200;29.04;91.35
07/06/2022;300;28.97;91.56
07/06/2022;400;28.86;91.31
07/06/2022;500;28.60;91.88
07/06/2022;600;28.38;91.56
07/06/2022;700;28.32;92.21
07/06/2022;800;28.26;92.18
07/06/2022;900;28.35;92.56
07/06/2022;1000;28.48;90.74
07/06/2022;1100;28.75;89.93
07/06/2022;1200;29.24;89.88
07/06/2022;1300;29.76;88.48
07/06/2022;1400;30.16;87.78
07/06/2022;1500;30.24;85.04
07/06/2022;1600;29.79;88.41
07/06/2022;1700;29.68;88.73
07/06/2022;1800;29.51;91.86
07/06/2022;1900;29.16;88.93
07/06/2022;2000;29.15;87.68
07/06/2022;2100;29.46;85.05
07/06/2022;2200;29.26;86.63
07/06/2022;2300;29.13;85.01
08/06/2022;0;28.98;85.52
08/06/2022;100;28.78;86.27
08/06/2022;200;28.58;86.89
08/06/2022;300;28.62;88.14
08/06/2022;400;28.40;88.06
08/06/2022;500;28.33;89.24
08/06/2022;600;28.24;90.29
08/06/2022;700;27.95;89.48
08/06/2022;800;27.95;91.80
08/06/2022;900;28.32;91.37
08/06/2022;1000;28.27;92.69
08/06/2022;1100;28.61;90.50
08/06/2022;1200;29.16;89.07
08/06/2022;1300;29.61;87.56
08/06/2022;1400;30.18;82.86
08/06/2022;1500;30.63;80.36
08/06/2022;1600;30.55;78.90
08/06/2022;1700;30.22;86.82
08/06/2022;1800;30.13;91.11
08/06/2022;1900;29.92;91.10
08/06/2022;2000;29.68;89.97
08/06/2022;2100;29.64;90.18
08/06/2022;2200;30.04;89.92
08/06/2022;2300;29.88;89.77
09/06/2022;0;29.4;91.71
09/06/2022;100;29.29;91.41
09/06/2022;200;29.10;91.23
09/06/2022;300;28.80;90.36
09/06/2022;400;28.77;90.25
09/06/2022;500;28.63;90.29
09/06/2022;600;28.43;90.21
09/06/2022;700;28.44;90.73
09/06/2022;800;28.56;93.70
09/06/2022;900;28.68;94.00
09/06/2022;1000;28.71;94.03
09/06/2022;1100;28.97;93.25
